Step,Action,Price,Portfolio Value
248,0,443.21,10020.616199999995
249,1,443.22,10020.616199999995
250,1,442.98,10020.836199999996
251,2,443.185,10015.556199999997
252,0,443.23,10015.556199999997
253,1,443.33,10015.556199999997
254,1,443.3,10017.756199999996
255,0,443.125,10017.096199999996
256,2,443.14,10013.246199999996
257,1,443.31,10013.246199999996
258,1,443.39,10016.986199999996
259,2,443.42,10018.746199999996
260,0,443.565,10018.746199999996
261,1,443.27,10018.746199999996
262,0,443.1101,10012.256199999994
263,1,443.365,10008.738399999995
264,0,443.38,10014.346199999996
265,0,443.4,10014.676199999996
266,0,443.14,10015.116199999995
267,1,443.0,10009.396199999996
268,0,443.6,10006.316199999996
269,2,444.14,10019.516199999996
270,0,444.6,10019.516199999996
271,2,445.455,10019.516199999996
272,1,447.02,10019.516199999996
273,1,447.595,10053.946199999995
274,0,447.0693,10066.596199999996
275,1,447.17,10055.030799999997
276,0,446.9,10057.246199999996
277,2,447.13,10051.306199999995
278,2,446.528,10051.306199999995
279,0,446.87,10051.306199999995
280,0,446.94,10051.306199999995
281,2,447.1,10051.306199999995
282,2,446.905,10051.306199999995
283,0,447.26,10051.306199999995
284,1,447.37,10051.306199999995
285,2,447.76,10053.726199999996
286,2,447.78,10053.726199999996
287,1,448.06,10053.726199999996
288,0,447.64,10059.886199999995
289,2,448.04,10050.646199999996
290,0,448.151,10050.646199999996
291,0,447.545,10050.646199999996
292,0,447.9,10050.646199999996
293,0,448.03,10050.646199999996
294,0,447.48,10050.646199999996
295,0,446.84,10050.646199999996
296,1,446.43,10050.646199999996
297,0,446.3201,10041.626199999997
298,1,446.365,10039.208399999996
299,1,446.98,10040.196199999997
300,2,448.11,10053.726199999997
301,0,447.975,10053.726199999997
302,1,448.545,10053.726199999997
303,1,448.61,10066.266199999996
304,1,448.425,10067.696199999997
305,1,448.92,10063.626199999997
306,0,449.15,10074.516199999996
307,0,449.05,10079.576199999996
308,0,448.745,10077.376199999997
309,1,448.7798,10070.666199999996
310,2,448.415,10071.431799999997
311,1,448.394,10071.431799999997
312,0,448.38,10070.969799999995
313,1,448.3488,10070.661799999996
314,2,448.23,10069.975399999996
315,2,448.75,10069.975399999996
316,2,448.97,10069.975399999996
317,1,449.1,10069.975399999996
318,2,449.28,10072.835399999996
319,1,449.42,10072.835399999996
320,0,449.415,10075.915399999996
321,1,449.27,10075.805399999997
322,2,449.5828,10072.615399999995
323,1,449.415,10072.615399999995
324,2,449.03,10068.923799999995
325,0,449.07,10068.923799999995
326,2,449.03,10068.923799999995
327,2,448.808,10068.923799999995
328,2,448.96,10068.923799999995
329,1,448.725,10068.923799999995
330,0,448.2101,10063.753799999997
331,1,447.607,10052.425999999996
332,0,447.7999,10039.157799999997
333,1,448.26,10043.401599999996
334,0,448.1,10053.523799999995
335,1,448.43,10050.003799999997
336,2,447.985,10057.263799999997
337,1,448.7011,10057.263799999997
338,0,448.855,10073.017999999996
339,1,448.76,10076.403799999998
340,0,448.86,10074.313799999996
341,1,448.915,10076.513799999997
342,1,448.5393,10077.723799999998
343,0,449.0,10069.458399999998
344,0,449.19,10079.593799999997
345,1,448.95,10083.773799999997
346,0,449.13,10078.493799999997
347,1,448.54,10082.453799999997
348,1,448.41,10069.473799999998
349,2,448.3994,10066.613799999997
350,0,448.17,10066.613799999997
351,1,447.9425,10066.613799999997
352,2,448.05,10061.608799999998
353,2,447.755,10061.608799999998
354,0,448.0319,10061.608799999998
355,1,447.74,10061.608799999998
356,0,447.71,10055.186999999998
357,2,447.88,10054.526999999996
358,0,447.7818,10054.526999999996
359,0,447.95,10054.526999999996
360,1,447.9982,10054.526999999996
361,1,447.73,10055.587399999997
362,0,447.67,10049.686999999998
363,0,447.61,10048.366999999997
364,2,447.75,10047.046999999997
365,1,447.7,10047.046999999997
366,2,447.895,10045.946999999996
367,1,447.9229,10045.946999999996
368,1,447.96,10046.5608
369,1,447.46,10047.376999999997
370,1,447.54,10036.376999999997
371,1,447.74,10038.136999999999
372,0,447.3997,10042.536999999998
373,2,447.5942,10035.050399999998
374,1,446.92,10035.050399999998
375,1,447.39,10020.217999999997
376,2,447.24,10030.557999999997
377,2,446.92,10030.557999999997
378,1,446.55,10030.557999999997
379,1,446.855,10022.417999999998
380,0,447.05,10029.127999999999
381,0,447.0163,10033.417999999998
382,0,447.225,10032.676599999997
383,1,447.49,10037.267999999998
384,2,447.45,10043.097999999998
385,2,447.025,10043.097999999998
386,0,447.42,10043.097999999998
387,0,446.62,10043.097999999998
388,2,446.21,10043.097999999998
389,2,446.35,10043.097999999998
390,2,446.46,10043.097999999998
391,1,446.87,10043.097999999998
392,0,446.875,10052.117999999999
393,0,446.57,10052.228
394,0,446.62,10045.517999999998
395,2,447.11,10046.617999999999
396,2,447.43,10046.617999999999
397,1,447.56,10046.617999999999
398,2,447.3885,10049.477999999997
399,1,447.21,10049.477999999997
400,0,446.79,10045.550999999996
401,1,446.485,10036.310999999998
402,1,446.24,10029.600999999997
403,2,446.105,10024.210999999998
404,2,446.11,10024.210999999998
405,1,446.2,10024.210999999998
406,0,445.88,10026.190999999997
407,0,445.795,10019.150999999998
408,0,446.1,10017.280999999997
409,1,446.43,10023.990999999998
410,1,446.42,10031.250999999998
411,1,446.725,10031.030999999997
412,0,446.66,10037.740999999998
413,1,446.59,10036.310999999998
414,1,446.47,10034.770999999997
415,1,446.28,10032.130999999998
416,2,446.33,10027.950999999997
417,1,446.275,10027.950999999997
418,2,446.19,10026.740999999996
419,1,446.47,10026.740999999996
420,0,446.39,10032.900999999996
421,1,446.2234,10031.140999999996
422,1,445.92,10027.475799999997
423,0,445.9495,10020.800999999996
424,1,446.2689,10021.449999999995
425,2,446.47,10028.476799999995
426,0,446.5549,10028.476799999995
427,1,446.79,10028.476799999995
428,1,446.84,10033.648999999996
429,0,447.32,10034.748999999994
430,2,447.5,10045.308999999994
431,1,447.45,10045.308999999994
432,1,447.4001,10044.208999999993
433,2,446.922,10043.111199999994
434,0,446.74,10043.111199999994
435,0,446.69,10043.111199999994
436,0,446.655,10043.111199999994
437,1,446.45,10043.111199999994
438,1,446.48,10038.601199999994
439,0,446.49,10039.261199999995
440,2,446.55,10039.481199999995
441,1,446.77,10039.481199999995
442,2,446.76,10044.321199999993
443,0,446.975,10044.321199999993
444,1,447.1,10044.321199999993
445,2,447.23,10047.071199999993
446,1,447.2457,10047.071199999993
447,0,447.33,10047.416599999991
448,0,447.15,10049.271199999992
449,2,447.03,10045.311199999991
450,2,447.025,10045.311199999991
451,1,447.29,10045.311199999991
452,1,447.12,10051.141199999993
453,0,447.2,10047.401199999991
454,0,447.27,10049.161199999991
455,0,447.3793,10050.70119999999
456,1,447.3,10053.105799999992
457,0,447.2201,10051.361199999992
458,1,447.18,10049.60339999999
459,1,446.97,10048.721199999993
460,1,447.03,10044.101199999992
461,1,446.93,10045.421199999992
462,1,447.06,10043.221199999993
463,1,446.74,10046.081199999991
464,1,446.575,10039.041199999992
465,0,446.415,10035.411199999991
466,2,446.75,10031.891199999993
467,1,446.76,10031.891199999993
468,2,446.54,10032.111199999992
469,1,446.525,10032.111199999992
470,1,446.3417,10031.78119999999
471,0,446.145,10027.748599999992
472,1,446.075,10023.42119999999
473,2,446.1629,10021.88119999999
474,1,446.0201,10021.88119999999
475,2,446.1288,10018.73959999999
476,0,446.08,10018.73959999999
477,2,445.705,10018.73959999999
478,2,445.755,10018.73959999999
479,1,446.0175,10018.73959999999
480,2,445.86,10024.51459999999
481,1,445.78,10024.51459999999
482,2,445.82,10022.75459999999
483,2,445.945,10022.75459999999
484,2,445.94,10022.75459999999
485,0,445.8,10022.75459999999
486,1,445.94,10022.75459999999
487,1,445.8,10025.83459999999
488,0,445.77,10022.75459999999
489,2,445.52,10022.094599999988
490,1,445.55,10022.094599999988
491,1,445.55,10022.75459999999
492,2,445.405,10022.75459999999
493,2,445.75,10022.75459999999
494,2,445.655,10022.75459999999
495,2,445.44,10022.75459999999
496,1,445.6251,10022.75459999999
497,0,445.6628,10026.826799999988
498,0,445.44,10027.656199999989
499,2,445.43,10022.75459999999
500,0,445.344,10022.75459999999
501,0,445.04,10022.75459999999
502,0,445.08,10022.75459999999
503,0,445.14,10022.75459999999
504,1,445.195,10022.75459999999
505,1,445.06,10023.964599999988
506,1,445.29,10020.994599999989
507,2,445.57,10026.05459999999
508,1,445.72,10026.05459999999
509,1,445.9,10029.354599999991
510,0,446.0,10033.31459999999
511,2,445.64,10035.514599999991
512,1,445.61,10035.514599999991
513,1,445.565,10034.854599999991
514,1,445.63,10033.864599999992
515,1,445.9,10035.294599999992
516,2,446.0035,10041.23459999999
517,0,445.939,10041.23459999999
518,0,445.755,10041.23459999999
