Step,Action,Price,Portfolio Value
274,[1 1 0],447.0693,10046.347599999994
275,[1 2 1],447.17,10034.782199999994
276,[0 2 2],446.9,10037.407899999993
277,[2 2 1],447.13,10031.467899999992
278,[2 0 2],446.528,10020.267899999993
279,[2 1 0],446.87,10020.267899999993
280,[1 2 1],446.94,10035.565499999993
281,[0 0 0],447.1,10029.265499999994
282,[1 1 0],446.905,10006.165499999992
283,[0 0 2],447.26,10008.965499999995
284,[1 2 2],447.37,10008.965499999995
285,[1 2 1],447.76,10011.385499999995
286,[2 2 2],447.78,10020.096299999994
287,[1 2 0],448.06,10020.096299999994
288,[1 0 2],447.64,10026.256299999994
289,[0 1 1],448.04,10017.016299999994
290,[0 0 1],448.151,10025.636299999996
291,[0 2 0],447.545,10028.036199999995
292,[1 2 0],447.9,10014.621199999994
293,[0 0 2],448.03,10022.317299999993
294,[0 2 0],447.48,10025.177299999994
295,[1 1 1],446.84,10013.077299999995
296,[1 2 0],446.43,9999.301999999992
297,[2 0 0],446.3201,9990.421999999995
298,[0 1 1],446.365,9990.471999999994
299,[0 0 1],446.98,9958.891999999994
300,[1 2 2],448.11,9979.091999999995
301,[2 1 0],447.975,9979.091999999995
302,[2 2 2],448.545,9972.849599999994
303,[1 0 1],448.61,9972.849599999994
304,[1 1 2],448.425,9974.279599999994
305,[2 2 0],448.92,9970.209599999995
306,[1 1 2],449.15,9970.209599999995
307,[2 0 1],449.05,9975.269599999994
308,[0 2 2],448.745,9979.469599999995
309,[1 1 0],448.7798,9979.469599999995
310,[2 1 2],448.415,9980.235199999996
311,[0 0 0],448.394,9996.435199999994
312,[1 0 1],448.38,9996.763999999996
313,[0 0 0],448.3488,9991.599999999995
314,[1 1 1],448.23,9972.835199999996
315,[1 1 1],448.75,9972.635199999995
316,[2 2 0],448.97,9966.368599999994
317,[2 0 1],449.1,9966.754599999995
318,[1 2 2],449.28,9959.943599999993
319,[1 0 2],449.42,9959.943599999993
320,[0 2 2],449.415,9963.023599999993
321,[0 1 0],449.27,9962.913599999994
322,[1 0 0],449.5828,9959.723599999992
323,[1 2 0],449.415,9966.605199999995
324,[2 2 2],449.03,9962.913599999994
325,[2 1 0],449.07,9962.913599999994
326,[2 1 0],449.03,9931.953599999995
327,[2 2 2],448.808,9920.193599999993
328,[1 1 1],448.96,9920.193599999993
329,[1 0 2],448.725,9923.537599999992
330,[0 0 0],448.2101,9918.367599999994
331,[0 2 0],447.607,9907.039799999993
332,[2 0 0],447.7999,9893.771599999995
333,[0 2 0],448.26,9893.771599999995
334,[2 1 0],448.1,9893.771599999995
335,[0 2 2],448.43,9882.371599999995
336,[1 0 1],447.985,9882.371599999995
337,[0 0 2],448.7011,9872.581599999994
338,[1 0 1],448.855,9888.335799999993
339,[0 2 1],448.76,9891.721599999995
340,[1 2 0],448.86,9889.631599999993
341,[1 0 0],448.915,9891.831599999994
342,[2 0 2],448.5393,9893.041599999995
343,[2 0 1],449.0,9893.041599999995
344,[0 2 1],449.19,9877.819199999993
345,[2 0 2],448.95,9872.032699999992
346,[2 2 1],449.13,9872.032699999992
347,[1 1 0],448.54,9860.807599999993
348,[0 0 2],448.41,9868.127699999992
349,[2 0 2],448.3994,9868.127699999992
350,[0 2 0],448.17,9868.127699999992
351,[1 2 2],447.9425,9868.127699999992
352,[0 1 2],448.05,9863.122699999993
353,[1 0 2],447.755,9865.487699999992
354,[0 0 1],448.0319,9858.997699999993
355,[1 0 1],447.74,9865.089499999993
356,[1 1 0],447.71,9858.667699999993
357,[1 1 2],447.88,9858.007699999991
358,[0 0 2],447.7818,9861.747699999993
359,[1 2 1],447.95,9859.587299999992
360,[1 2 0],447.9982,9863.287699999992
361,[0 1 1],447.73,9864.348099999992
362,[0 1 0],447.67,9858.447699999993
363,[2 1 2],447.61,9857.127699999992
364,[1 0 1],447.75,9831.697299999993
365,[0 2 0],447.7,9855.30249999999
366,[1 2 0],447.895,9855.352499999992
367,[1 2 1],447.9229,9859.591099999994
368,[1 1 1],447.96,9860.016199999993
369,[1 2 1],447.46,9860.465299999993
370,[1 2 1],447.54,9850.100299999993
371,[2 1 0],447.74,9851.660899999993
372,[1 2 2],447.3997,9865.615299999994
373,[0 2 0],447.5942,9865.615299999994
374,[0 0 2],446.92,9865.615299999994
375,[2 0 0],447.39,9865.615299999994
376,[0 1 1],447.24,9865.615299999994
377,[1 1 1],446.92,9879.105299999994
378,[0 1 2],446.55,9903.265199999994
379,[1 0 2],446.855,9919.652399999994
380,[2 1 1],447.05,9934.529999999995
381,[1 0 1],447.0163,9938.388399999994
382,[0 2 1],447.225,9931.448499999997
383,[2 2 2],447.49,9911.641299999997
384,[2 1 2],447.45,9911.641299999997
385,[0 2 2],447.025,9936.548499999997
386,[1 1 1],447.42,9936.548499999997
387,[2 0 0],446.62,9945.238499999998
388,[0 1 0],446.21,9945.238499999998
389,[0 0 1],446.35,9950.996099999998
390,[1 1 2],446.46,9940.517099999997
391,[0 1 2],446.87,9942.197099999998
392,[0 2 2],446.875,9945.933899999998
393,[0 2 0],446.57,9945.933899999998
394,[1 0 2],446.62,9945.933899999998
395,[2 0 0],447.11,9947.033899999999
396,[2 2 0],447.43,9947.033899999999
397,[1 2 1],447.56,9947.033899999999
398,[1 2 1],447.3885,9949.893899999997
399,[0 0 2],447.21,9946.120899999998
400,[1 0 2],446.79,9942.193899999997
401,[2 2 0],446.485,9932.953899999999
402,[0 1 0],446.24,9932.953899999999
403,[1 0 0],446.105,9922.417899999997
404,[0 1 2],446.11,9930.817899999998
405,[0 0 0],446.2,9918.337899999997
406,[0 0 0],445.88,9915.937899999997
407,[2 0 0],445.795,9914.017899999997
408,[1 0 2],446.1,9920.334699999998
