Step,Action,Price,Portfolio Value
188,[1 1 0],444.0,10043.726100000002
189,[1 2 2],443.92,10042.5161
190,[1 1 0],443.965,10040.7561
191,[1 2 0],443.965,10041.7461
192,[1 0 0],443.935,10041.7461
193,[2 2 2],444.0,10041.0861
194,[0 0 2],443.88,10041.0861
195,[1 0 0],443.69,10041.0861
196,[0 1 2],443.73,10036.9061
197,[2 2 2],443.67,10037.786100000001
198,[1 2 2],443.5,10037.786100000001
199,[2 1 0],443.24,10034.046100000001
200,[2 1 1],443.9,10035.546100000001
201,[2 0 0],443.87,10031.866100000001
202,[1 1 1],444.11,10028.3361
203,[1 0 2],444.26,10030.0611
204,[0 1 2],444.44,10038.526100000001
205,[2 0 2],444.37,10032.276100000001
206,[1 1 0],444.14,10031.776100000001
207,[1 1 0],444.05,10030.2286
208,[0 2 0],443.96,10031.526100000001
209,[2 0 0],443.815,10031.526100000001
210,[2 1 1],444.22,10031.526100000001
211,[1 1 0],444.11,10028.0861
212,[2 1 1],444.015,10034.1061
213,[1 0 1],443.91,10038.5511
214,[1 2 0],444.03,10036.706100000001
215,[2 2 2],444.03,10036.786100000001
216,[2 0 2],444.0,10036.786100000001
217,[2 0 2],443.85,10036.786100000001
218,[2 0 0],443.9,10036.786100000001
219,[1 0 2],444.0,10036.786100000001
220,[1 0 1],443.88,10038.986100000002
221,[1 0 0],443.9,10036.326100000002
222,[0 0 1],443.9,10036.7211
223,[2 2 1],443.755,10036.836100000002
224,[1 0 0],443.75,10038.996100000002
225,[0 0 0],443.61,10035.396100000002
226,[1 1 0],443.7,10026.7561
227,[2 1 1],443.82,10027.476100000002
228,[1 0 1],443.75,10025.316100000002
229,[0 2 0],443.6,10025.316100000002
230,[0 0 1],443.425,10032.5161
231,[0 2 2],443.65,10023.703300000001
232,[2 2 0],443.5,10023.703300000001
233,[1 0 0],443.44,10023.703300000001
234,[0 0 1],443.18,10022.383300000001
235,[1 1 1],443.2,10016.643300000002
236,[0 2 2],443.2,10016.9833
237,[2 1 2],443.1,10016.9833
238,[0 1 1],442.81,10014.4833
239,[0 1 2],442.67,10001.0983
240,[0 2 1],442.97,10026.568299999999
241,[2 2 0],442.9,10031.608299999998
242,[1 1 1],442.78,10028.728299999999
243,[2 0 0],442.71,10028.713899999999
244,[0 2 0],442.94,10028.008299999998
245,[2 1 2],442.92,10028.728299999999
246,[0 0 1],442.9,10028.728299999999
247,[0 2 1],443.22,10029.448299999998
248,[1 2 0],443.21,10027.648299999997
249,[2 0 1],443.22,10030.1683
250,[2 0 1],442.98,10028.0083
251,[0 2 2],443.185,10032.6883
252,[1 0 0],443.23,10032.6883
253,[1 2 2],443.33,10033.678300000001
254,[2 0 2],443.3,10035.8783
255,[2 2 0],443.125,10035.8783
256,[1 0 0],443.14,10035.8783
257,[2 0 1],443.31,10036.2083
258,[1 2 2],443.39,10038.728299999999
259,[1 0 1],443.42,10038.728299999999
260,[1 2 0],443.565,10039.4887
261,[1 1 1],443.27,10042.6787
262,[2 2 1],443.1101,10036.368299999998
263,[2 0 0],443.365,10031.3427
264,[0 2 1],443.38,10029.902699999999
265,[2 1 0],443.4,10083.902699999999
266,[0 0 2],443.14,10084.6227
267,[0 1 0],443.0,10084.6227
268,[2 0 0],443.6,10120.1227
269,[0 0 0],444.14,10167.1227
270,[0 2 1],444.6,10157.9152
271,[1 1 0],445.455,10164.395199999999
272,[0 0 1],447.02,10171.5592
273,[0 2 1],447.595,10198.955199999999
274,[2 1 2],447.0693,10228.475199999997
275,[1 0 2],447.17,10228.475199999997
276,[0 1 0],446.9,10230.690599999996
277,[1 2 0],447.13,10224.750599999996
278,[0 0 0],446.528,10229.810599999997
279,[0 1 1],446.87,10216.566599999996
280,[1 1 1],446.94,10224.183399999994
281,[2 1 0],447.1,10225.543399999997
282,[2 0 0],446.905,10224.909799999996
283,[1 0 2],447.26,10227.406599999997
284,[0 1 0],447.37,10257.149799999996
285,[2 1 2],447.76,10236.774799999996
286,[1 2 1],447.78,10220.774799999996
287,[1 1 1],448.06,10223.409999999994
288,[1 2 0],447.64,10223.366799999996
289,[1 0 0],448.04,10216.922799999997
290,[0 1 1],448.151,10203.962799999996
291,[1 2 1],447.545,10200.931599999996
292,[0 0 1],447.9,10194.955599999996
293,[2 0 0],448.03,10186.754799999995
294,[0 0 1],447.48,10214.762799999997
295,[1 1 0],446.84,10194.984399999996
296,[2 2 2],446.43,10216.922799999997
297,[1 0 0],446.3201,10216.922799999997
298,[0 0 1],446.365,10214.504999999996
299,[2 0 2],446.98,10215.112799999997
300,[0 2 1],448.11,10215.112799999997
301,[0 2 2],447.975,10217.999999999996
302,[1 1 1],448.545,10217.999999999996
303,[1 2 2],448.61,10230.754799999995
304,[2 1 0],448.425,10232.184799999995
305,[1 0 1],448.92,10234.542299999996
306,[2 2 1],449.15,10272.184799999995
307,[1 0 1],449.05,10272.184799999995
308,[0 1 0],448.745,10276.504799999995
309,[2 2 0],448.7798,10266.424799999995
310,[0 0 2],448.415,10272.544799999994
311,[0 0 1],448.394,10272.544799999994
312,[2 2 0],448.38,10248.071999999995
313,[2 1 2],448.3488,10255.444799999996
314,[0 1 0],448.23,10255.444799999996
315,[0 2 1],448.75,10255.194799999996
316,[0 2 0],448.97,10249.668699999995
317,[2 1 1],449.1,10263.757699999995
318,[1 2 2],449.28,10256.654799999995
319,[0 2 2],449.42,10256.654799999995
320,[2 2 1],449.415,10256.654799999995
321,[0 1 2],449.27,10248.705099999996
322,[0 0 0],449.5828,10248.705099999996
323,[1 1 1],449.415,10248.705099999996
324,[0 1 1],449.03,10244.796499999995
325,[2 1 2],449.07,10236.126499999995
326,[0 1 0],449.03,10205.166499999994
327,[2 0 2],448.808,10192.916499999994
328,[1 0 0],448.96,10215.916499999994
329,[1 1 2],448.725,10215.878999999994
330,[1 2 1],448.2101,10203.666499999994
331,[1 2 0],447.607,10201.476499999993
332,[2 1 1],447.7999,10194.483099999994
333,[1 1 0],448.26,10190.161499999995
334,[0 2 2],448.1,10177.758799999996
335,[0 0 2],448.43,10177.758799999996
336,[0 0 1],447.985,10177.758799999996
337,[1 2 0],448.7011,10191.263799999995
338,[2 0 1],448.855,10200.753799999997
339,[1 1 1],448.76,10187.606499999996
340,[1 0 0],448.86,10195.643799999996
341,[2 2 1],448.915,10171.254499999997
342,[0 2 2],448.5393,10164.253799999997
343,[1 1 2],449.0,10164.253799999997
344,[1 1 1],449.19,10174.389199999996
345,[2 2 0],448.95,10178.406199999996
346,[2 0 2],449.13,10178.435799999996
347,[0 1 1],448.54,10178.435799999996
348,[2 2 2],448.41,10184.935799999996
349,[2 2 1],448.3994,10184.935799999996
350,[2 0 2],448.17,10175.445799999996
351,[0 0 2],447.9425,10175.445799999996
352,[1 0 0],448.05,10175.445799999996
353,[0 0 0],447.755,10177.810799999996
354,[0 0 1],448.0319,10171.320799999996
355,[1 2 1],447.74,10177.222599999996
356,[0 0 0],447.71,10170.510799999995
357,[2 2 1],447.88,10170.020799999993
358,[2 0 2],447.7818,10184.584299999993
359,[2 1 0],447.95,10184.584299999993
360,[2 1 1],447.9982,10174.336799999992
361,[1 1 0],447.73,10151.586799999992
362,[1 0 1],447.67,10143.336799999992
363,[2 0 1],447.61,10148.586799999992
364,[2 1 0],447.75,10122.096799999992
365,[0 1 0],447.7,10146.591799999993
366,[1 0 1],447.895,10133.586799999992
367,[0 2 2],447.9229,10155.836799999992
368,[2 0 1],447.96,10155.836799999992
369,[2 2 2],447.46,10147.806799999993
370,[0 0 0],447.54,10147.806799999993
371,[0 2 2],447.74,10147.806799999993
372,[1 0 0],447.3997,10147.806799999993
